EMD_CD,EMD_ENG_NM,EMD_KOR_NM,행정주소,법정동주소,SIDO,비행불가능여부,터미널유무,승용차,버스,혼잡강도,공항,총.인구수,세대.수,기차역.ktx역포함.여부,면적15k이상건물여부,id,long,lat,터미널과의거리,기차역과의거리,공항과의거리
26440112,Saenggok-dong,생곡동,부산광역시 강서구 녹산동,부산광역시 강서구 생곡동,26,0,0,0.115686088,0.038621262,0.12244898,0,0.247690766,0.27030053,0,0,2857,128.8809244,35.13191336,3.722972481,10.441135,7.409749622
26440113,Gurang-dong,구랑동,부산광역시 강서구 녹산동,부산광역시 강서구 구랑동,26,0,0,0.115686088,0.038621262,0.12244898,0,0.247690766,0.27030053,0,0,2858,128.8537078,35.12744961,3.334847876,12.95142656,9.609534855
26440114,Jisa-dong,지사동,부산광역시 강서구 녹산동,부산광역시 강서구 지사동,26,0,0,0.115686088,0.038621262,0.12244898,0,0.247690766,0.27030053,0,0,2859,128.8237488,35.14429869,4.03749812,12.5751403,11.12029719
26440115,Mieum-dong,미음동,부산광역시 강서구 녹산동,부산광역시 강서구 미음동,26,0,0,0.115686088,0.038621262,0.12244898,0,0.247690766,0.27030053,0,0,2860,128.8607779,35.1536753,5.523030211,11.74163554,7.598575146
26440116,Beombang-dong,범방동,부산광역시 강서구 녹산동,부산광역시 강서구 범방동,26,0,0,0.115686088,0.038621262,0.12244898,0,0.247690766,0.27030053,0,0,2861,128.8773227,35.1558913,4.953877781,10.21915806,6.118890352
26440117,Sinho-dong,신호동,부산광역시 강서구 녹산동,부산광역시 강서구 신호동,26,0,0,0.115686088,0.038621262,0.12244898,0,0.247690766,0.27030053,0,0,2862,128.8733254,35.08198511,2.0415176,13.85046359,12.3172365
26440118,Dongseon-dong,동선동,부산광역시 강서구 가덕도동,부산광역시 강서구 동선동,26,0,0,0.106721249,0.02948505,0.020408163,0,0.026411372,0.038302887,0,0,2863,128.8343672,35.04472771,6.871441109,18.48629047,17.68413432
26440119,Seongbuk-dong,성북동,부산광역시 강서구 가덕도동,부산광역시 강서구 성북동,26,0,0,0.106721249,0.02948505,0.020408163,0,0.026411372,0.038302887,0,0,2864,128.8131278,35.06855291,6.133214027,15.27394784,16.76372186
26440120,Nulcha-dong,눌차동,부산광역시 강서구 가덕도동,부산광역시 강서구 눌차동,26,0,0,0.106721249,0.02948505,0.020408163,0,0.026411372,0.038302887,0,0,2865,128.8470893,35.0679621,4.049800618,16.68522359,14.89033361
26440121,Cheonseong-dong,천성동,부산광역시 강서구 가덕도동,부산광역시 강서구 천성동,26,0,0,0.106721249,0.02948505,0.020408163,0,0.026411372,0.038302887,0,0,2866,128.8026097,35.02950158,8.051591969,17.83321422,20.71757853
26440122,Daehang-dong,대항동,부산광역시 강서구 가덕도동,부산광역시 강서구 대항동,26,0,0,0.106721249,0.02948505,0.020408163,0,0.026411372,0.038302887,0,0,2867,128.8301063,35.00696562,10.56634812,21.34014024,21.51847942
26470101,Geoje-dong,거제동,부산광역시 연제구 거제1동,부산광역시 연제구 거제동,26,0,0,0.276735847,0.06769103,0.352040816,0,0.092932962,0.083578865,1,0,2868,129.0687875,35.18733151,2.222110036,0.579457303,11.93966422
26470102,Yeonsan-dong,연산동,부산광역시 연제구 연산1동,부산광역시 연제구 연산동,26,1,0,0.26681899,0.054401993,0.147959184,0,0.120361963,0.134197604,0,0,2869,129.0935744,35.1758025,2.776810177,2.316658322,14.17200427
26500105,Namcheon-dong,남천동,부산광역시 수영구 남천1동,부산광역시 수영구 남천동,26,1,0,0.290508378,0.077657807,0.173469388,0,0.091743119,0.087939501,0,0,2874,129.1094655,35.14379377,3.514552861,3.794235758,16.10989407
26500102,Suyeong-dong,수영동,부산광역시 수영구 수영동,부산광역시 수영구 수영동,26,0,0,0.281543539,0.058554817,0.153061224,0,0.23497041,0.215458653,0,0,2871,129.1180588,35.16978439,1.210614935,1.226613524,16.43212069
26500101,Mangmi-dong,망미동,부산광역시 수영구 망미1동,부산광역시 수영구 망미동,26,0,0,0.365225946,0.07641196,0.147959184,0,0.094318502,0.100451778,0,0,2870,129.1063702,35.17424584,1.762653078,1.757516209,15.34280109
26500104,Gwangan-dong,광안동,부산광역시 수영구 광안1동,부산광역시 수영구 광안동,26,0,0,0.386947829,0.14410299,0.301020408,0,0.145622632,0.17022196,0,0,2873,129.1079278,35.15972792,2.649796144,2.663297203,15.62904748
26500103,Millak-dong,민락동,부산광역시 수영구 민락동,부산광역시 수영구 민락동,26,0,0,0.156337268,0.02948505,0.137755102,0,0.119219088,0.14647417,0,0,2872,129.1264613,35.16066584,1.123922373,1.493292164,17.28948537
